id;razao_social;nome_fantasia;cnpj;email;telefone;cidade;estado;categoria;data_cadastro;status;prazo_medio_entrega_dias;prazo_pagamento_dias;indice_atraso_percentual;reajuste_medio_anual_percentual;score_fornecedor;forma_pagamento_preferencial;contato_principal;observacoes
FOR001;FashionTex Malhas Ltda.;FashionTex Malhas;##.###.###/0001-##;contato@fashiontexmalhas.com.br;(11) 3XXX-XXXX;Goiânia;GO;Tecidos;2024-08-15;Ativo;15;45;2.3;8.4;85;TED;Equipe Comercial;Fornecedor homologado.
FOR002;Denim Brasil Ltda.;Denim Brasil;##.###.###/0001-##;contato@denimbrasil.com.br;(11) 3XXX-XXXX;Blumenau;SC;Jeans;2020-08-10;Ativo;7;28;6.5;9.1;90;Boleto;Equipe Comercial;Fornecedor homologado.
FOR003;Tecidos Paulista Ltda.;Tecidos Paulista;##.###.###/0001-##;contato@tecidospaulista.com.br;(11) 3XXX-XXXX;Americana;SP;Tecidos;2023-11-24;Ativo;15;45;1.9;2.1;86;Boleto;Equipe Comercial;Fornecedor homologado.
FOR004;Urban Cotton Ltda.;Urban Cotton;##.###.###/0001-##;contato@urbancotton.com.br;(11) 3XXX-XXXX;São Paulo;SP;Tecidos;2020-04-08;Ativo;15;28;9.3;4.6;88;Boleto;Equipe Comercial;Fornecedor homologado.
FOR005;Style Buttons Ltda.;Style Buttons;##.###.###/0001-##;contato@stylebuttons.com.br;(11) 3XXX-XXXX;Brusque;SC;Aviamentos;2025-05-16;Ativo;5;45;1.0;7.2;83;TED;Equipe Comercial;Fornecedor homologado.
FOR006;ZipMaster Ltda.;ZipMaster;##.###.###/0001-##;contato@zipmaster.com.br;(11) 3XXX-XXXX;Guarulhos;SP;Aviamentos;2025-05-11;Ativo;7;45;3.5;2.6;94;Boleto;Equipe Comercial;Fornecedor homologado.
FOR007;ColorPrint Têxtil Ltda.;ColorPrint Têxtil;##.###.###/0001-##;contato@colorprinttextil.com.br;(11) 3XXX-XXXX;Americana;SP;Confecção;2020-05-13;Ativo;5;28;10.2;2.0;76;Boleto;Equipe Comercial;Fornecedor homologado.
FOR008;Moda Sul Ltda.;Moda Sul;##.###.###/0001-##;contato@modasul.com.br;(11) 3XXX-XXXX;Goiânia;GO;Confecção;2023-12-13;Ativo;12;28;6.8;3.6;91;PIX;Equipe Comercial;Fornecedor homologado.
FOR009;Confecções Prime Ltda.;Confecções Prime;##.###.###/0001-##;contato@confeccõesprime.com.br;(11) 3XXX-XXXX;Campinas;SP;Confecção;2020-05-11;Ativo;5;30;9.1;2.9;77;TED;Equipe Comercial;Fornecedor homologado.
FOR010;Etiqueta&Cia Ltda.;Etiqueta&Cia;##.###.###/0001-##;contato@etiquetacia.com.br;(11) 3XXX-XXXX;Guarulhos;SP;Aviamentos;2020-01-15;Ativo;12;28;8.2;3.5;86;Boleto;Equipe Comercial;Fornecedor homologado.
FOR011;Malharia Horizonte Ltda.;Malharia Horizonte;##.###.###/0001-##;contato@malhariahorizonte.com.br;(11) 3XXX-XXXX;Blumenau;SC;Tecidos;2023-11-13;Ativo;5;30;5.0;3.7;78;TED;Equipe Comercial;Fornecedor homologado.
FOR012;Tecido Nobre Ltda.;Tecido Nobre;##.###.###/0001-##;contato@tecidonobre.com.br;(11) 3XXX-XXXX;Joinville;SC;Tecidos;2020-04-06;Ativo;12;45;7.7;2.8;74;Boleto;Equipe Comercial;Fornecedor homologado.
FOR013;Fashion Logistics Ltda.;Fashion Logistics;##.###.###/0001-##;contato@fashionlogistics.com.br;(11) 3XXX-XXXX;Goiânia;GO;Logística;2022-01-25;Ativo;15;30;10.0;5.1;72;Boleto;Equipe Comercial;Fornecedor homologado.
FOR014;Cabides Brasil Ltda.;Cabides Brasil;##.###.###/0001-##;contato@cabidesbrasil.com.br;(11) 3XXX-XXXX;Brusque;SC;Acessórios;2024-11-08;Ativo;5;45;4.4;7.0;74;TED;Equipe Comercial;Fornecedor homologado.
FOR015;Embalagens Premium Ltda.;Embalagens Premium;##.###.###/0001-##;contato@embalagenspremium.com.br;(11) 3XXX-XXXX;Goiânia;GO;Embalagens;2024-03-28;Ativo;12;28;7.5;4.5;77;TED;Equipe Comercial;Fornecedor homologado.
FOR016;Tecelagem Aurora Ltda.;Tecelagem Aurora;##.###.###/0001-##;contato@tecelagemaurora.com.br;(11) 3XXX-XXXX;Brusque;SC;Tecidos;2025-04-06;Ativo;15;28;8.2;5.1;85;TED;Equipe Comercial;Fornecedor homologado.
FOR017;Trend Imports Ltda.;Trend Imports;##.###.###/0001-##;contato@trendimports.com.br;(11) 3XXX-XXXX;Guarulhos;SP;Importação;2023-01-04;Ativo;5;28;6.1;4.0;93;TED;Equipe Comercial;Fornecedor homologado.
FOR018;Linha Forte Aviamentos Ltda.;Linha Forte Aviamentos;##.###.###/0001-##;contato@linhaforteaviamentos.com.br;(11) 3XXX-XXXX;Americana;SP;Aviamentos;2022-07-27;Ativo;15;30;3.5;3.4;93;Boleto;Equipe Comercial;Fornecedor homologado.
